Altium Designer Pick and Place Locations
E:\FreeLancer\thermometer&barometer\pool_mesurement\Project Outputs for pool_mesurement\Pick Place for pool_mesurement_PCB.txt

========================================================================================================================
File Design Information:

Date:       12/10/20
Time:       14:30
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment          Layer       Footprint         Center-X(mm) Center-Y(mm) Rotation Description                                                                            
U1         ESP8266-07       BottomLayer ESP8266-07_MODULE 18.2650mm    25.8930mm    180      "self-contained Wi-Fi network solution"                                                
R11        27R              TopLayer    R3216             34.0440mm    8.6710mm     90       "27 ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"   
R5         10K              BottomLayer R3216             24.2000mm    9.5000mm     90       "10 ±1% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"   
R8         27R              TopLayer    R3216             31.0440mm    8.6710mm     90       "27 ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"   
H3         302-R161         TopLayer    302-R161          37.4500mm    33.7300mm    360      "CONN HEADER R/A 16POS 2.54MM"                                                         
H2         PPTC082LFBN-RC   BottomLayer PPTC082LFBN-RC    45.3500mm    24.5700mm    360      "16 Position Header Connector Through Hole"                                            
J1         PJ-002A          TopLayer    PJ-002A           49.9500mm    10.8000mm    270      "2,0 x 6,5 mm, 2,5 A, Yatay, AA§A±k Delik, Dc GA?A§ JakA± KonnektA¶rA?"                
H4         TB002-500-02BE   TopLayer    TB002-500-02BE    55.3000mm    36.8000mm    180      "2~24 Poles, Screw Type, Horizontal, 5.0 Pitch, 22~12 _AWG_, Terminal Block Connector" 
U3         FT231XS-R        TopLayer    FT231XS-R         16.5000mm    19.5000mm    360      "USB Bridge, USB to UART USB 2.0 UART Interface 20-SSOP"                               
U2         GY_BMP280_MODULE TopLayer    BMP280_MODULE     12.8700mm    4.2000mm     360      "environmental sensor with temperature, barometric pressure"                           
R13        1K               TopLayer    R3216             22.6000mm    9.5000mm     90       "1 ±1% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"    
R12        1K               TopLayer    R3216             26.0000mm    9.5000mm     90       "1 ±1% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"    
R9         10K              TopLayer    R3216             15.4000mm    29.6000mm    180      "10 ±1% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"   
R7         10K              BottomLayer R3216             14.7000mm    9.5000mm     90       "10 ±1% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"   
R6         10K              TopLayer    R3216             15.5000mm    26.7000mm    360      "10 ±1% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"   
R4         10K              TopLayer    R3216             27.6000mm    25.5340mm    270      "10 ±1% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"   
R3         10K              TopLayer    R3216             54.2400mm    19.5009mm    270      "10 ±1% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"   
